media_id,actor_id
222,352
222,358
222,615
222,803
222,804
222,805
222,806
222,807
222,808
222,809
222,810
222,811
222,812
222,813
222,814
222,815
222,816
222,817
222,818
222,819
222,820
222,821
222,822
222,823
222,824
222,825
222,826
222,827
222,828
222,829
222,830
222,831
222,832
222,833
222,834
222,835
222,836
222,30588
223,837
223,838
223,839
224,840
225,615
225,616
225,841
225,842
225,843
225,844
225,845
225,846
225,847
225,2055
225,3048
226,848
226,849
226,850
226,851
227,596
227,852
227,853
227,854
227,855
228,856
228,857
229,858
229,859
229,860
229,861
229,862
229,863
229,864
230,865
231,866
231,867
231,868
231,869
232,870
232,871
233,872
233,873
233,874
234,875
234,876
234,877
234,878
234,879
234,880
235,60686
236,881
237,882
237,883
237,884
237,885
237,886
237,887
237,888
237,889
237,890
237,891
237,892
237,893
237,894
237,895
237,896
237,897
237,898
237,8101
237,8103
237,18748
238,899
239,896
239,900
239,901
239,902
239,903
239,904
239,905
239,906
239,907
239,908
239,909
239,8101
240,910
241,893
241,911
242,912
242,913
242,914
243,915
243,916
243,917
245,148
245,606
245,918
245,919
245,920
245,921
245,922
245,923
246,924
246,925
246,926
246,927
246,928
246,929
246,930
248,931
249,932
249,933
249,934
249,935
249,936
249,937
249,938
250,939
250,940
250,941
250,942
251,943
251,944
251,945
251,946
251,947
251,948
251,949
251,950
251,951
251,952
252,953
252,954
252,955
252,956
252,978
253,713
253,715
253,957
253,958
254,959
254,960
255,961
255,962
255,963
255,964
255,965
255,966
256,967
256,968
256,969
257,970
258,971
258,972
258,973
258,974
258,975
261,976
261,977
261,978
262,979
262,980
262,981
262,11906
263,982
263,983
263,984
264,985
264,986
264,987
264,988
264,989
264,990
264,991
264,992
264,993
264,994
265,995
266,996
266,997
268,998
268,999
268,1000
269,752
269,1001
269,1002
269,1003
269,1004
269,1005
269,1006
269,1007
269,1008
269,1009
269,1010
269,1011
269,1012
269,1013
269,1014
269,1015
269,1016
269,1017
269,1018
269,1019
269,1020
270,1021
270,1022
270,1023
270,1024
270,1025
271,1026
271,1027
271,1028
271,1029
271,1030
272,60687
273,1031
273,1032
273,1033
273,1034
273,1035
273,1036
274,1037
274,1038
274,1039
274,1040
274,1041
274,1042
274,1043
274,1044
275,1045
275,1046
275,1047
275,1048
275,1049
275,1050
275,1051
275,1052
275,1053
275,1054
276,1055
276,1056
276,1057
276,1058
276,1059
276,1060
276,1061
278,1062
279,1063
279,1064
279,1065
279,1066
279,1067
279,1068
280,728
280,1069
280,1070
281,233
281,305
281,1071
281,1072
282,1073
282,1074
283,783
283,1075
283,1076
283,1077
283,1078
283,1079
283,1080
283,783
283,1076
283,1077
283,1078
283,1079
283,1080
283,9624
283,26513
283,40765
283,60157
284,1081
284,1082
285,1083
285,1084
285,1083
285,1084
285,4513
285,33284
285,33644
285,33910
285,34225
285,36153
285,36807
285,41788
285,42253
285,42254
285,42255
286,1085
286,1086
286,1087
287,1073
288,1073
288,1088
289,1073
289,1088
290,1073
290,1088
290,1089
291,1073
292,1090
292,1091
292,1092
293,1093
293,1094
293,1095
293,1096
293,1097
293,1098
293,1099
293,1100
293,1101
294,1102
294,1103
294,1104
294,1105
294,1106
294,1107
294,1108
294,1109
294,1110
294,1111
294,1112
295,1113
296,1114
296,1115
296,1116
296,1117
296,1118
296,1119
297,1120
299,1121
300,1122
301,1123
302,1124
302,1125
302,1126
303,1127
304,1128
305,1128
307,1129
308,1130
309,59
309,1131
309,1132
309,1133
309,1134
309,1135
309,1136
309,1137
309,1138
309,16852
311,1139
311,1140
311,1141
311,1142
312,1143
313,1144
313,1145
313,1146
313,1147
313,1148
314,1149
314,1150
314,1151
316,1152
317,1153
317,1154
317,1155
317,1156
317,1157
317,1158
318,1159
318,1160
318,1161
318,1162
318,1163
318,1164
319,1165
320,1166
320,1167
320,1168
321,1169
321,1170
321,1171
321,1172
321,1173
321,1174
321,1175
321,1176
324,1177
325,1178
325,1179
325,1180
325,1181
327,1182
327,1183
327,1184
328,3951
328,39555
328,39559
330,1185
330,1186
330,1187
330,1188
330,1189
331,1185
331,1186
331,1187
331,1188
331,1189
332,1190
332,1191
332,1192
333,351
333,1193
333,1194
333,1195
333,1196
333,1197
334,1198
334,1199
334,1200
334,1201
334,1202
334,1203
335,1204
336,1205
336,1206
336,1207
336,1208
336,1209
336,1210
336,1211
336,1212
336,1213
336,56102
338,1214
338,1215
338,1216
338,1217
338,1218
338,1219
338,1220
338,1221
339,1222
339,1223
339,1224
339,1225
339,1226
339,1227
340,6
340,1228
340,1229
341,1230
341,1231
341,1232
343,1233
343,1234
343,1235
343,1236
346,1237
347,1215
347,1238
347,1239
347,1240
347,1241
347,1242
347,1243
347,1244
347,1245
347,1246
347,59103
348,1247
348,1248
348,1249
349,1250
349,1251
349,1252
349,1253
350,1254
350,1255
350,1256
350,1257
351,1258
351,1259
351,1260
351,1261
351,1262
351,1263
352,1264
352,1265
352,18987
353,1266
353,1267
353,1268
354,596
354,1269
354,1270
354,1271
354,1272
354,1273
354,1274
354,1275
354,1276
354,1277
354,1278
354,1279
354,1280
354,1281
354,1282
354,1283
354,31433
354,60683
356,1284
357,1285
358,1284
360,1286
362,1287
362,1288
362,1289
362,1290
362,1291
363,107
363,125
363,1002
363,1113
363,1292
363,1293
363,1294
363,1295
363,1296
363,1297
363,1298
363,1299
363,1300
363,1301
363,1302
363,1303
363,1304
363,1305
363,1306
363,1307
363,1308
363,1309
364,1310
364,1311
364,1312
364,1313
364,1314
364,1315
364,1316
364,1317
364,10366
365,197
365,1318
365,1319
365,1320
365,1321
365,1322
365,1323
365,1324
365,1325
366,197
366,1318
366,1319
366,1320
366,1321
366,1322
366,1323
366,1324
366,1325
367,1326
367,1327
367,1328
368,354
368,1329
368,1330
368,1331
368,1332
368,1333
368,1334
368,1335
368,1336
368,1337
368,1338
368,1339
368,1340
368,1341
368,1342
368,1343
368,1344
368,1345
368,1346
368,1347
368,1348
368,1349
369,1350
369,1351
369,1352
370,1353
370,1354
370,1355
370,1356
370,1357
370,1358
372,1359
372,1360
372,1361
372,1362
373,491
373,1363
373,1364
373,1365
374,1366
374,1367
374,1368
375,1228
375,1369
375,1370
375,1371
375,1372
376,1373
376,1374
376,1375
376,1376
376,1377
376,1378
377,1379
377,1380
377,1381
383,1382
383,1383
383,1384
383,1385
383,1386
383,1387
383,1388
383,1389
383,1390
383,1391
383,1392
383,1393
383,1394
383,1395
383,1396
383,1397
383,1398
384,1399
384,1400
384,1401
384,1402
385,1403
386,1404
386,1405
387,1406
387,1407
387,1408
387,1409
388,1410
388,1411
388,1412
388,1413
389,1414
389,1415
389,1416
389,1417
389,1418
389,1419
389,1420
389,1421
389,1422
389,1423
389,28708
390,1424
390,1425
390,1426
391,201
391,1427
391,1428
391,1429
391,37145
392,1430
392,1431
392,1432
392,1433
392,1434
392,1435
392,1436
392,1437
392,1438
394,1439
394,1440
394,1441
394,1442
395,1443
395,1444
395,1445
396,1446
397,1447
397,1448
398,1449
398,1450
398,1451
398,1452
398,1453
398,1454
398,1455
398,1456
398,1457
398,1458
398,1459
398,1460
398,1461
398,1462
398,1463
399,1464
399,1465
399,1466
400,1467
400,1468
400,1469
400,1470
401,1471
401,1472
401,1473
401,1474
402,1475
402,1476
402,1477
402,1478
402,1479
402,1480
403,1481
403,1482
403,1483
403,1481
403,1483
403,46570
